Time,Wild_mega,Humans,Livestock
1.0050180881,69531461269.8867,409338883985.606,979634887610.289
22.0968557965,70018668738.3796,292000249724.804,698572172592.776
68.3387195202,69574778071.4539,149868634042.77,346625498058.827
140.8300880974,69757108243.244,72810531621.2091,168730336962.577
340.9864982647,69940815027.9874,36958241699.6042,78909042727.5083
2013.3121245072,70005316783.4773,13764939377.5818,35874439461.8835
3005.1796403542,69684900500.9675,7100114500.97302,19730941704.0359
4010.9596967464,69537892424.4172,3418113073.97469,12556053811.6594
6024.1104632498,69969825303.8132,1697189038.87161,3587443946.18826
8051.0043333479,69976427233.3275,856623972.761713,0
10045.8805981381,95347150547.6103,425418685.729524,0
12534.0926659872,112924125900.741,215228064.552943,0
15047.6995410096,112261544308.496,106785734.27774,0
20126.1792917684,170869403804.209,53598268.8657453,0
25128.4874831668,170451717391.404,26763530.7674246,0
50033.910048039,180842008868.948,13515387.1752812,0
99978.2187128831,181927406501.058,6737693.36126811,0
